mOTU ID	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)														
HN_SY_bin_183	50.8	1.612	36.2	2284	1454180	627	1617	8295	0.857597008	k__Bacteria (UID2569)	278	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__	
HN_SY_bin_184	65.51	0	67.1	18074	3066546	222	2986	65939	0.901791124	k__Bacteria (UID203)	104	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_185	66.34	4.144	55.4	2985	4971011	1727	4914	14211	0.829439121	k__Bacteria (UID2565)	140	87.5	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__GCA-2862225;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	
HN_SY_bin_186	72.42	3.615	69.7	3877	2591597	771	2996	21971	0.900695211	o__Rhodospirillales (UID3754)	336	36.84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UXAT02;g__JADJXQ01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	
HN_SY_bin_187	94.81	1.176	59.1	15442	5949319	508	4848	98401	0.832341527	k__Bacteria (UID2565)	140	0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	
HN_SY_bin_188	91.54	2.903	59	13069	4541786	485	4405	52722	0.836590427	c__Deltaproteobacteria (UID3216)	247	100	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosarcina;s__	Sulphate reduction
HN_SY_bin_19	94.87	1.346	62.5	28331	3319689	221	3215	130462	0.917973782	c__Gammaproteobacteria (UID4444)	506	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__	
HN_SY_bin_190	61.83	3.821	50.6	3175	2886869	959	3395	14840	0.863409297	p__Cyanobacteria (UID2192)	582	30.43	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__;s__	d__Bacteria;p__Cyanobacteria;c__;o__Pleurocapsales;f__Hydrococcaceae;g__;s__	
HN_SY_bin_191	69.84	8.314	54.6	4378	4222697	1055	4464	22276	0.880914307	k__Bacteria (UID1452)	163	36.84	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__JAACFF01;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
HN_SY_bin_192	66.35	1.947	41.3	3997	1461713	404	1741	18037	0.869358544	o__Lactobacillales (UID355)	336	80	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	
HN_SY_bin_193	56.73	6.372	44.2	2342	3338303	1384	4219	13784	0.79380985	c__Deltaproteobacteria (UID3216)	247	6.25	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	Sulphate reduction
HN_SY_bin_194	75.38	2.564	73.9	4317	3295360	877	3635	26502	0.893109518	k__Bacteria (UID1453)	171	66.67	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nitriliruptorales;f__;g__;s__	d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__;g__;s__	
HN_SY_bin_195	84.08	7.654	52.2	4940	4361671	1088	4928	33997	0.878695929	c__Gammaproteobacteria (UID4267)	544	52.94	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__JAAUQA01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__	
HN_SY_bin_196	57.57	0	71	10454	1460866	171	1523	36156	0.918487174	k__Bacteria (UID1453)	171	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	
HN_SY_bin_197	51.78	3.571	58.5	7114	3780126	602	3241	26572	0.870060157	k__Bacteria (UID203)	102	100	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__	
HN_SY_bin_198	92.19	3.25	65.8	37465	3286862	162	3096	183626	0.903871331	c__Gammaproteobacteria (UID4267)	544	17.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_199	53.4	7.903	60.4	3085	3952706	1319	4578	31847	0.845371475	c__Deltaproteobacteria (UID3216)	247	88.89	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	Sulphate reduction
HN_SY_bin_2	87.76	4.268	63.2	7239	4602163	875	4686	39807	0.904729788	c__Gammaproteobacteria (UID4444)	503	50	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__Haliea;s__	
HN_SY_bin_20	83.17	1.88	63.8	8098	3863891	575	4066	35145	0.886242409	c__Alphaproteobacteria (UID3337)	388	83.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	
HN_SY_bin_200	58.98	1.499	54.2	4285	1748254	447	1923	19063	0.912833255	s__algicola (UID2846)	571	33.33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	
HN_SY_bin_201	69.82	3.604	47.2	4194	2877343	762	3170	27938	0.854563775	c__Deltaproteobacteria (UID3217)	280	12.5	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila_A;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfopila;s__	Sulphate reduction
HN_SY_bin_202	78.46	4.432	62	12353	7942397	1006	6069	56546	0.888946279	k__Bacteria (UID2565)	140	22.22	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Anammoximicrobium;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Candidatus Anammoximicrobium;s__	
HN_SY_bin_203	68.01	3.046	69	3797	2302539	679	2879	16572	0.909463284	f__Rhodobacteraceae (UID3340)	568	50	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	
HN_SY_bin_204	82	4.545	55.5	5788	4215608	911	4183	29381	0.888909653	k__Bacteria (UID1452)	163	20	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__JAACFF01;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
HN_SY_bin_206	86.68	4.782	69.9	18489	2752626	199	2705	66109	0.917240199	c__Gammaproteobacteria (UID4267)	544	20.83	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_207	62.07	4.988	68.4	4243	3160108	831	3507	14863	0.901227575	c__Gammaproteobacteria (UID4267)	544	18.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_208	72.9	2.727	53.6	3805	2257513	652	2563	25544	0.906331873	k__Bacteria (UID1452)	163	33.33	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
HN_SY_bin_209	50.5	2.586	42.5	3168	1465019	475	1759	17053	0.845581182	k__Bacteria (UID203)	104	100	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__;s__	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__;s__	
HN_SY_bin_21	56.98	2.974	43.4	2444	2210008	901	2379	10148	0.866325247	k__Bacteria (UID2569)	278	57.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinifilaceae;g__;s__	
HN_SY_bin_210	62.61	5.99	50.5	4811	2369407	540	2505	18218	0.816778842	c__Deltaproteobacteria (UID3216)	247	53.85	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__;g__;s__	Sulphate reduction
HN_SY_bin_213	79.91	2.005	68.7	7087	2586895	508	3006	33451	0.88715704	p__Cyanobacteria (UID2143)	472	27.27	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium;s__	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__;s__	
HN_SY_bin_214	83	3.571	66.2	12073	2556812	272	2565	61913	0.910766011	c__Gammaproteobacteria (UID4267)	544	29.41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_215	72.74	4.039	35.3	3742	5041703	1468	5866	39933	0.798802993	p__Cyanobacteria (UID2192)	584	95.24	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium;s__	d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Geminocystaceae;g__Cyanobacterium;s__	
HN_SY_bin_216	52.24	9.954	67.5	2642	2553283	984	2898	10225	0.913789431	k__Bacteria (UID2495)	147	30	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__IDS-52;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
HN_SY_bin_217	62.14	2.564	63.9	3641	2004074	588	2401	15415	0.906464374	k__Bacteria (UID1453)	171	66.67	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__	
HN_SY_bin_218	53.79	8.62	68.1	4701	1858699	472	2133	22836	0.906578437	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_219	65.3	9.658	65.6	3323	2935422	979	3700	15707	0.902829209	f__Rhodobacteraceae (UID3361)	654	6.58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JABSSA01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	
HN_SY_bin_22	53.1	4.161	53.7	2217	2293359	1020	2748	7073	0.879954684	c__Deltaproteobacteria (UID3216)	247	9.09	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	Sulphate reduction
HN_SY_bin_220	96.42	3.538	61.1	39575	4849333	253	4398	172985	0.890216763	c__Gammaproteobacteria (UID4444)	506	61.54	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__	
HN_SY_bin_221	99.55	1.444	45	32754	7669608	338	6368	145768	0.81430546	p__Cyanobacteria (UID2189)	579	0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Coleofasciculus;s__	d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__	
HN_SY_bin_222	76.16	2.136	70.3	7904	4174820	621	3944	27877	0.92118753	k__Bacteria (UID3187)	188	33.33	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
HN_SY_bin_223	81.15	5.636	58.6	7335	4865838	816	4613	80026	0.888442566	k__Bacteria (UID1452)	163	0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__UBA11865;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
HN_SY_bin_224	52.09	4.715	72.7	2432	3067514	1286	3729	8384	0.89348376	c__Gammaproteobacteria (UID4267)	544	28.57	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_225	59.97	1.637	34.7	6024	2339669	475	2269	24668	0.765424927	p__Cyanobacteria (UID2192)	584	25	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__JAALKG01;s__	d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__	
HN_SY_bin_226	60.02	5.429	62.9	9253	2709996	316	2812	72678	0.866382949	c__Gammaproteobacteria (UID4274)	577	14.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	
HN_SY_bin_227	87.01	4.011	65.4	11621	3190080	433	3177	61578	0.89826966	c__Gammaproteobacteria (UID4267)	544	41.86	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_228	85.71	1.741	63.8	14799	3990308	386	3817	85209	0.92753002	c__Deltaproteobacteria (UID3216)	247	50	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__	Sulphate reduction
HN_SY_bin_229	79.69	3.602	38.6	7538	4944759	877	5331	67347	0.824197815	p__Cyanobacteria (UID2192)	584	66.67	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__	d__Bacteria;p__Cyanobacteria;c__;o__Pleurocapsales;f__Hyellaceae;g__Pleurocapsa;s__	
HN_SY_bin_23	57.06	1.333	39.5	2807	1004399	366	1261	12421	0.912746677	k__Bacteria (UID2328)	126	100	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__	
HN_SY_bin_230	60.2	0.967	65.3	2750	1427228	538	1975	9575	0.919913566	p__Cyanobacteria (UID2143)	472	66.67	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000153065	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__	
HN_SY_bin_231	76.83	4.713	46.7	7689	3872147	702	3989	36144	0.849179443	c__Deltaproteobacteria (UID3216)	247	20	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__;g__;s__	Sulphate reduction
HN_SY_bin_232	73.37	0.946	71.3	6869	5092952	953	4473	30760	0.883365738	k__Bacteria (UID2565)	143	100	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__	
HN_SY_bin_234	59.91	4.286	51.8	2390	1945801	807	2263	8548	0.856580855	c__Gammaproteobacteria (UID4444)	506	45.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Oceanospirillum;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__;s__	
HN_SY_bin_235	73.84	3.761	48.9	3042	3329453	1140	3813	14126	0.881618512	k__Bacteria (UID203)	104	40	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__	
HN_SY_bin_236	51.07	8.121	42.8	1892	2284548	1163	2605	4872	0.889727043	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Calditrichota;c__Calditrichia;o__;f__;g__;s__	d__Bacteria;p__Calditrichaeota;c__Calditrichae;o__;f__;g__;s__	
HN_SY_bin_237	51.37	2.553	44.1	2474	1687653	680	2157	12072	0.896689967	k__Bacteria (UID2328)	126	50	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__	
HN_SY_bin_24	69.76	1.829	62.7	48439	2723172	90	2581	143553	0.879612035	c__Gammaproteobacteria (UID4274)	577	25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	
HN_SY_bin_25	65.6	1.032	67.8	3178	3219037	1077	3437	13389	0.893548262	k__Bacteria (UID3187)	188	50	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__FEB-10;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__	
HN_SY_bin_26	83.01	8.96	61.8	14860	4221267	412	4104	66729	0.846486464	c__Deltaproteobacteria (UID3216)	247	88	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA5852;g__JABZFP01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosarcina;s__	Sulphate reduction
HN_SY_bin_27	68.85	1.183	51.3	3372	3203592	1003	3437	11932	0.907566699	k__Bacteria (UID2570)	274	75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	
HN_SY_bin_28	51.45	2.673	62.9	2426	2050539	850	2636	7907	0.895655727	c__Gammaproteobacteria (UID4267)	544	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
HN_SY_bin_29	64.45	1.826	70.8	3084	2416077	822	2962	12597	0.912323141	c__Alphaproteobacteria (UID3337)	388	100	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	
HN_SY_bin_3	81.43	1.416	69.5	15880	1977584	161	2147	52039	0.91171361	p__Cyanobacteria (UID2143)	472	42.86	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium;s__	d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__	
HN_SY_bin_30	63.62	0	56.5	24881	3436950	195	3212	91051	0.87436701	c__Deltaproteobacteria (UID3216)	247	0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2174_A;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	Sulphate reduction
HN_SY_bin_31	73.23	1.228	33.1	3400	3130052	990	3532	17094	0.906802438	k__Bacteria (UID2495)	147	33.33	d__Bacteria;p__Calditrichota;c__Calditrichia;o__;f__;g__;s__	d__Bacteria;p__Calditrichaeota;c__Calditrichae;o__;f__;g__;s__	
HN_SY_bin_32	90.87	3.796	55.1	7276	2809743	519	2907	24032	0.909587611	s__algicola (UID2846)	571	62.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	
HN_SY_bin_33	62.17	2.985	49	2657	2314021	899	2719	8757	0.832406513	c__Deltaproteobacteria (UID3216)	247	25	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__;g__;s__	Sulphate reduction
HN_SY_bin_34	56.95	0	74.4	3029	2032086	714	2354	9868	0.902971574	k__Bacteria (UID203)	104	0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nitriliruptorales;f__;g__;s__	d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__;g__;s__	
HN_SY_bin_35	57.27	3.817	35.9	2259	1756985	770	2042	7543	0.871185323	k__Bacteria (UID2569)	278	53.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Marinifilum;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinifilaceae;g__Marinifilum;s__	
HN_SY_bin_36	73.3	2.328	40.4	3310	3145521	1019	3599	10030	0.834111052	p__Cyanobacteria (UID2192)	584	14.29	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__;s__	d__Bacteria;p__Cyanobacteria;c__;o__Pleurocapsales;f__Hyellaceae;g__;s__	
HN_SY_bin_37	51.61	6.666	63.8	3390	2340997	763	2633	12980	0.907968702	c__Gammaproteobacteria (UID4444)	504	16	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Congregibacter;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__	
HN_SY_bin_38	57.75	1.724	65	12786	2305656	242	2257	71630	0.925113962	k__Bacteria (UID203)	104	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__Halioglobus;s__	
HN_SY_bin_39	58.81	1.154	53.7	2440	2752210	1129	3465	9080	0.819941629	p__Cyanobacteria (UID2182)	544	36.36	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__;s__	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae;g__;s__	
HN_SY_bin_4	69.12	2.288	66.9	17694	2903492	206	2724	76334	0.890783739	c__Gammaproteobacteria (UID4267)	544	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__	
HN_SY_bin_40	57.67	0.631	61.8	9393	1734888	213	1843	23428	0.899808721	c__Gammaproteobacteria (UID4274)	577	83.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__	
HN_SY_bin_41	58.83	1.851	67.7	9559	2812958	316	2833	31832	0.909711412	c__Gammaproteobacteria (UID4443)	451	12.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
