bgc_name	genome_name	score	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)	Product Prediction
JS_YC_contig_16058719.region002	JS_YC_bin_130	0.6764587826672692	96.08	1.098	56.3	104128	5441729	173	4796	341683	0.911577896	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__		ranthipeptide
JS_YC_contig_16058719.region001	JS_YC_bin_130	0.6764587826672692	96.08	1.098	56.3	104128	5441729	173	4796	341683	0.911577896	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__		RRE-containing
JS_YC_contig_18384098.region001	JS_YC_bin_130	0.6764587826672692	96.08	1.098	56.3	104128	5441729	173	4796	341683	0.911577896	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__		terpene
JS_YC_contig_27825850.region001	JS_YC_bin_130	0.6764587826672692	96.08	1.098	56.3	104128	5441729	173	4796	341683	0.911577896	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__		terpene
ZJ_WZ_contig_8928421.region001	ZJ_WZ_bin_60	0.6733820143802156	96.12	4.334	65.4	108160	4932888	89	4603	254542	0.889367018	c__Gammaproteobacteria (UID4267)	544	4.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		NRPS-like.NRPS
ZJ_WZ_contig_18452205.region002	ZJ_WZ_bin_60	0.6733820143802156	96.12	4.334	65.4	108160	4932888	89	4603	254542	0.889367018	c__Gammaproteobacteria (UID4267)	544	4.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		terpene
ZJ_WZ_contig_18452205.region001	ZJ_WZ_bin_60	0.6733820143802156	96.12	4.334	65.4	108160	4932888	89	4603	254542	0.889367018	c__Gammaproteobacteria (UID4267)	544	4.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		NRPS-like
ZJ_WZ_contig_6199230.region001	ZJ_WZ_bin_60	0.6733820143802156	96.12	4.334	65.4	108160	4932888	89	4603	254542	0.889367018	c__Gammaproteobacteria (UID4267)	544	4.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		betalactone
ZJ_WZ_contig_2231014.region001	ZJ_WZ_bin_60	0.6733820048052301	96.12	4.334	65.4	108160	4932888	89	4603	254542	0.889367018	c__Gammaproteobacteria (UID4267)	544	4.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		betalactone
SD_DY_contig_15429925.region001	SD_DY_bin_428	0.6712904080414102	96.88	1.413	61.9	36244	3511090	153	3365	158071	0.884121461	c__Alphaproteobacteria (UID3305)	349	75.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXQ01;f__SMXQ01;g__SMXQ01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__		NAGGN
SD_DY_contig_24155755.region001	SD_DY_bin_347	0.6671623049764944	81.94	4.413	61.3	5818	7204919	1619	7183	39125	0.880989474	k__Bacteria (UID1452)	160	16.67	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UCB3;f__JAANWY01;g__JAANWY01;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__		hydrogen-cyanide
SD_DY_contig_27995665.region001	SD_DY_bin_143	0.6659845706588492	97.58	2.097	58.5	41723	4186837	251	3949	128146	0.883384578	c__Gammaproteobacteria (UID4444)	507	90.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__		betalactone
ZJ_NB_contig_5940340.region001	ZJ_NB_bin_175	0.6639400033114171	93.96	2.331	40.2	32664	4396256	321	4048	142808	0.900947001	o__Cytophagales (UID2936)	454	30.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__SZUA-230;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__		terpene
ZJ_NB_contig_4556953.region001	ZJ_NB_bin_175	0.6639399965408799	93.96	2.331	40.2	32664	4396256	321	4048	142808	0.900947001	o__Cytophagales (UID2936)	454	30.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__SZUA-230;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__		T3PKS
JS_YC_contig_26509841.region001	JS_YC_bin_143	0.6621799972190792	96.4	1.245	56.9	85625	9025911	243	6773	307613	0.869475593	k__Bacteria (UID2565)	140	50.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__ARS98;s__	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__		T1PKS
LN_DD_contig_2192311.region001	LN_DD_bin_170	0.6617976978313305	91.68	2.762	57.9	91701	4191958	68	4083	321495	0.916636124	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS-like
LN_DD_contig_25544868.region001	LN_DD_bin_170	0.6617976978313305	91.68	2.762	57.9	91701	4191958	68	4083	321495	0.916636124	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NAGGN
LN_DD_contig_17408839.region001	LN_DD_bin_170	0.6617976978313305	91.68	2.762	57.9	91701	4191958	68	4083	321495	0.916636124	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		arylpolyene
LN_DD_contig_22504336.region001	LN_DD_bin_170	0.661797688256345	91.68	2.762	57.9	91701	4191958	68	4083	321495	0.916636124	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS-like
SD_QD_contig_26051585.region001	SD_QD_bin_226	0.6614861252131804	93.07	1.957	47.0	35911	4347084	219	3726	115757	0.929463275	p__Bacteroidetes (UID2605)	316	42.86	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__		lassopeptide
LN_DD_contig_392358.region001	LN_DD_bin_43	0.6586711200882335	89.55	4.049	62.8	253623	2814999	90	2669	315041	0.906792036	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__		RiPP-like
SD_QD_contig_1714841.region001	SD_QD_bin_233	0.6584473126347173	97.7	2.08	32.9	68105	3289420	109	3026	291164	0.892504837	f__Flavobacteriaceae (UID2845)	548	15.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aureibaculum;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__;g__;s__		terpene
HN_SY_contig_30633376.region001	HN_SY_bin_89	0.6573492490405455	89.96	1.28	71.8	9709	4055745	570	4144	33330	0.886911857	c__Alphaproteobacteria (UID3337)	388	57.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__		RRE-containing
SD_DY_contig_27579362.region001	SD_DY_bin_178	0.6558360383636781	96.15	2.184	61.9	80501	6090241	156	4848	315100	0.870331298	k__Bacteria (UID3187)	188	25.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		NRPS-like
SD_DY_contig_24549765.region001	SD_DY_bin_178	0.6558360383636781	96.15	2.184	61.9	80501	6090241	156	4848	315100	0.870331298	k__Bacteria (UID3187)	188	25.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		T3PKS
ZJ_WZ_contig_12303620.region001	ZJ_WZ_bin_220	0.6542803111202798	95.8	3.356	61.2	86547	4744845	80	4595	238316	0.883978771	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		betalactone
ZJ_WZ_contig_25242890.region001	ZJ_WZ_bin_220	0.6542803111202798	95.8	3.356	61.2	86547	4744845	80	4595	238316	0.883978771	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS-like
ZJ_WZ_contig_19620708.region001	ZJ_WZ_bin_220	0.6542803111202798	95.8	3.356	61.2	86547	4744845	80	4595	238316	0.883978771	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		redox-cofactor
ZJ_WZ_contig_4461778.region001	ZJ_WZ_bin_196	0.6509692137043419	97.43	2.617	61.6	147603	4628333	126	3948	452879	0.89560027	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		ranthipeptide
ZJ_WZ_contig_4461778.region002	ZJ_WZ_bin_196	0.6509692137043419	97.43	2.617	61.6	147603	4628333	126	3948	452879	0.89560027	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		RRE-containing
ZJ_WZ_contig_16088462.region001	ZJ_WZ_bin_196	0.6509692137043419	97.43	2.617	61.6	147603	4628333	126	3948	452879	0.89560027	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		terpene
ZJ_WZ_contig_6703974.region001	ZJ_WZ_bin_196	0.6509692041293563	97.43	2.617	61.6	147603	4628333	126	3948	452879	0.89560027	k__Bacteria (UID3187)	188	0.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__		T3PKS
HN_SY_contig_6240856.region001	HN_SY_bin_220	0.6479711230549562	96.42	3.538	61.1	39575	4849333	253	4398	172985	0.890216763	c__Gammaproteobacteria (UID4444)	506	61.54	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__;s__		NAGGN
SD_DY_contig_15443866.region001	SD_DY_bin_194	0.6472334691940314	97.66	4.604	64.2	50659	5007856	224	4356	220235	0.89556578	c__Gammaproteobacteria (UID4202)	481	12.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__;s__		CDPS
SD_DY_contig_2257385.region002	SD_DY_bin_194	0.6472334691940314	97.66	4.604	64.2	50659	5007856	224	4356	220235	0.89556578	c__Gammaproteobacteria (UID4202)	481	12.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__;s__		terpene
ZJ_NB_contig_878734.region001	ZJ_NB_bin_121	0.6426154280842007	96.0	4.025	57.7	99310	4076095	96	3923	209964	0.888598756	c__Gammaproteobacteria (UID4267)	544	14.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-001735895;f__GCA-001735895;g__GCA-001735895;s__GCA-001735895 sp009937625	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		hydrogen-cyanide
ZJ_NB_contig_26179855.region001	ZJ_NB_bin_126	0.64162728260294	94.86	1.305	39.9	141384	2683453	70	2832	288238	0.864817224	c__Gammaproteobacteria (UID4274)	581	11.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__JABDMD01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__;s__		betalactone
ZJ_NB_contig_14949570.region001	ZJ_NB_bin_126	0.641627275832403	94.86	1.305	39.9	141384	2683453	70	2832	288238	0.864817224	c__Gammaproteobacteria (UID4274)	581	11.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4575;f__UBA4575;g__JABDMD01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__;s__		NRPS-like
GD_ZH_contig_20047269.region001	GD_ZH_bin_111	0.6411749810631654	88.55	3.575	65.4	66882	6563269	176	5302	279269	0.914278268	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__;g__;s__	Sulphate reduction	hglE-KS
GD_ZH_contig_472991.region001	GD_ZH_bin_111	0.6411749810631654	88.55	3.575	65.4	66882	6563269	176	5302	279269	0.914278268	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__;g__;s__	Sulphate reduction	RiPP-like
GD_ZH_contig_25558588.region001	GD_ZH_bin_111	0.6411749742926283	88.55	3.575	65.4	66882	6563269	176	5302	279269	0.914278268	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__;g__;s__	Sulphate reduction	RRE-containing
GD_ZH_contig_15621398.region001	GD_ZH_bin_111	0.6411749742926283	88.55	3.575	65.4	66882	6563269	176	5302	279269	0.914278268	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__Bradymonadales;f__Bradymonadaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__;g__;s__	Sulphate reduction	hglE-KS
LN_DD_contig_7332852.region001	LN_DD_bin_191	0.6404743484814788	97.3	4.679	61.3	34112	5128804	235	4868	151298	0.88977202	c__Gammaproteobacteria (UID4267)	544	8.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		betalactone
SD_DY_contig_5213305.region001	SD_DY_bin_304	0.6390633671484202	90.9	5.818	49.3	39863	8880973	403	7971	151635	0.872764332	k__Bacteria (UID1452)	163	7.69	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__J095;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__		T3PKS
SD_DY_contig_22986715.region001	SD_DY_bin_304	0.6390633575734347	90.9	5.818	49.3	39863	8880973	403	7971	151635	0.872764332	k__Bacteria (UID1452)	163	7.69	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__J095;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__		phosphonate
SD_DY_contig_15864561.region001	SD_DY_bin_142	0.6378821559753101	96.63	1.098	47.3	89255	6401519	132	5233	411899	0.850386231	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__JdFR-76;c__JdFR-76;o__JdFR-76;f__DREG01;g__;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__		terpene
SD_DY_contig_9206545.region001	SD_DY_bin_142	0.6378821559753101	96.63	1.098	47.3	89255	6401519	132	5233	411899	0.850386231	k__Bacteria (UID2495)	147	0.0	d__Bacteria;p__JdFR-76;c__JdFR-76;o__JdFR-76;f__DREG01;g__;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__		terpene
HN_SY_contig_1967976.region001	HN_SY_bin_164	0.637829070715519	93.93	2.588	63.8	26144	3497420	195	3339	95473	0.867223128	c__Gammaproteobacteria (UID4274)	577	58.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__		NAGGN
GD_ZH_contig_21728907.region001	GD_ZH_bin_210	0.6377171574670156	92.96	4.876	64.9	75783	4306746	158	4137	279470	0.917555649	c__Gammaproteobacteria (UID4443)	451	8.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__SZUA-309;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
JS_YC_contig_10724583.region001	JS_YC_bin_60	0.6369949610472971	99.14	2.307	62.0	118772	3154136	49	3227	200686	0.916424441	k__Bacteria (UID1453)	171	50.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JABDJC01;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__		RRE-containing
JS_LYG_contig_2628360.region001	JS_LYG_bin_135	0.6325365709675645	97.02	0.344	39.2	54986	2932063	90	2688	196426	0.904302419	s__algicola (UID2846)	571	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muriicola;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muriicola;s__		terpene
ZJ_WZ_contig_4168506.region001	ZJ_WZ_bin_108	0.631419689707898	85.86	2.173	61.3	44357	4679319	216	4564	144466	0.88102597	c__Alphaproteobacteria (UID3305)	349	50.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__JADFVY01;g__JADFVY01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		hydrogen-cyanide
ZJ_WZ_contig_3189721.region001	ZJ_WZ_bin_108	0.6314196829373608	85.86	2.173	61.3	44357	4679319	216	4564	144466	0.88102597	c__Alphaproteobacteria (UID3305)	349	50.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__JADFVY01;g__JADFVY01;s__	d__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__		RRE-containing
FJ_XM_contig_25903625.region001	FJ_XM_bin_71	0.6297164612317964	85.71	1.535	59.4	12991	3082739	343	3230	42698	0.899395078	o__Rhizobiales (UID3449)	431	71.43	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__;s__		lassopeptide.RRE-containing
HN_SY_contig_12459224.region001	HN_SY_bin_42	0.6290051400286506	96.08	1.561	64.6	27583	2979073	174	2985	107271	0.905310823	c__Alphaproteobacteria (UID3305)	349	60.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__DSM-21159;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__;s__		redox-cofactor
LN_DD_contig_1643.region001	LN_DD_bin_73	0.6269373746796159	90.74	3.935	60.9	72369	4256754	151	4124	367268	0.899435991	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		ectoine
LN_DD_contig_11544331.region001	LN_DD_bin_73	0.6269373679090787	90.74	3.935	60.9	72369	4256754	151	4124	367268	0.899435991	c__Gammaproteobacteria (UID4443)	451	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS
ZJ_WZ_contig_4117647.region001	ZJ_WZ_bin_204	0.626549157451003	87.52	2.171	63.3	45878	3484937	219	3402	140448	0.912166743	c__Gammaproteobacteria (UID4267)	544	20.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		NRPS-like
JS_YC_contig_16477379.region001	JS_YC_bin_136	0.6264520469970147	90.33	1.056	58.3	68311	3310230	107	3256	195211	0.910765085	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__SMWC01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
SD_QD_contig_10339056.region002	SD_QD_bin_15	0.6217670733160805	88.23	2.053	63.3	63296	3801615	165	3574	189835	0.911150927	c__Gammaproteobacteria (UID4267)	544	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
SD_DY_contig_3817580.region001	SD_DY_bin_267	0.6213684827640764	90.64	1.29	72.8	67829	4972249	125	4553	258258	0.910682632	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__SZUA-336;f__SZUA-336;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	T3PKS
GD_ZH_contig_15688152.region001	GD_ZH_bin_209	0.6183908075722562	96.55	2.677	40.0	30902	2128216	139	2184	82971	0.909001628	c__Betaproteobacteria (UID3888)	387	81.82	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__;s__		hserlactone
GX_BH_contig_12341959.region001	GX_BH_bin_101	0.6174681795089875	96.74	2.856	65.0	28454	3790582	235	3465	138651	0.897535391	c__Gammaproteobacteria (UID4267)	544	13.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		terpene
GX_BH_contig_18343453.region001	GX_BH_bin_101	0.6174681767045392	96.74	2.856	65.0	28454	3790582	235	3465	138651	0.897535391	c__Gammaproteobacteria (UID4267)	544	13.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		RRE-containing
SD_DY_contig_27608406.region001	SD_DY_bin_300	0.6113104248751633	93.16	4.355	46.1	16245	4875367	448	4643	87439	0.881785597	c__Gammaproteobacteria (UID4267)	544	13.04	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__JACVQI01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__		lassopeptide
JS_YC_contig_20679478.region001	JS_YC_bin_203	0.6109661003529369	88.81	1.29	64.4	86686	4417107	106	4287	274210	0.913598006	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA6930;g__UBA6930;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	T1PKS
JS_YC_contig_10765259.region001	JS_YC_bin_203	0.6109660935823997	88.81	1.29	64.4	86686	4417107	106	4287	274210	0.913598006	c__Deltaproteobacteria (UID3216)	247	0.0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA6930;g__UBA6930;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction	arylpolyene
